"","purity"
"TCGA-E9-A1NI-01A",0.741177229401857
"TCGA-A1-A0SP-01A",0.596563731821311
"TCGA-AR-A24O-01A",0.510649236846709
"TCGA-OL-A5RY-01A",0.382665501025865
"TCGA-BH-A0DG-01A",0.554631348042768
"TCGA-E2-A1LS-01A",0.809478205473928
"TCGA-E9-A1RB-01A",0.679347628544362
"TCGA-D8-A1X9-01A",0.68816745984928
"TCGA-5L-AAT0-01A",0.582689613847628
"TCGA-AO-A12C-01A",0.757837124551259
"TCGA-V7-A7HQ-01A",0.67136483111853
"TCGA-A2-A1FZ-01A",0.538924727363889
"TCGA-AR-A251-01A",0.700337791126821
"TCGA-BH-A0B9-01A",0.658851876545931
"TCGA-EW-A1PF-01A",0.513957547833
"TCGA-AR-A24S-01A",0.618208321646278
"TCGA-E2-A1LL-01A",0.600069610234883
"TCGA-AC-A2QJ-01A",0.577863414276642
"TCGA-A8-A08O-01A",0.727810053139915
"TCGA-XX-A899-01A",0.518823756238844
"TCGA-D8-A1XK-01A",0.531988634437431
"TCGA-AC-A5XS-01A",0.585445355436714
"TCGA-AO-A125-01A",0.943875919900551
"TCGA-AR-A0TX-01A",0.533245332339542
"TCGA-AC-A3OD-01A",0.520146500217521
"TCGA-4H-AAAK-01A",0.624936164528947
"TCGA-E9-A24A-01A",0.614717839838865
"TCGA-LL-A6FQ-01A",0.838209094499951
"TCGA-AR-A24Q-01A",0.643125708064845
"TCGA-AR-A2LE-01A",0.727951056011468
"TCGA-AR-A0U4-01A",0.474786140416385
"TCGA-GM-A2DN-01A",0.483632821289667
"TCGA-A7-A13D-01A",0.687146198578978
"TCGA-D8-A1JG-01B",0.569255348599252
"TCGA-E2-A570-01A",0.649185189421757
"TCGA-A7-A6VV-01A",0.58275180850741
"TCGA-AO-A0JJ-01A",0.592423200959828
"TCGA-E2-A10E-01A",0.772190320253831
"TCGA-A7-A3IZ-01A",0.840634944386561
"TCGA-A2-A0YH-01A",0.635484015859766
"TCGA-D8-A1JM-01A",0.761694681914687
"TCGA-OL-A5RX-01A",0.549583959295894
"TCGA-E2-A1L8-01A",0.695887639544778
"TCGA-OL-A5RV-01A",0.541607189964846
"TCGA-AC-A2FM-01A",0.789331856429755
"TCGA-AO-A0JM-01A",0.694419104272941
"TCGA-BH-A0DP-01A",0.648578240979118
"TCGA-A2-A25E-01A",0.683889121186748
"TCGA-B6-A2IU-01A",0.694392487794263
"TCGA-D8-A27T-01A",0.665611458252755
"TCGA-A2-A0SW-01A",0.659210541955133
"TCGA-E2-A107-01A",0.681032754676152
"TCGA-E2-A1B6-01A",0.359794994337023
"TCGA-D8-A1XW-01A",0.685264284427887
"TCGA-GM-A4E0-01A",0.469669659429028
"TCGA-EW-A6SD-01A",0.628451789964271
"TCGA-E9-A6HE-01A",0.642513525895142
"TCGA-AR-A5QP-01A",0.529698581748759
"TCGA-AC-A62X-01A",0.859892531854219
"TCGA-BH-A42V-01A",0.498255141098245
"TCGA-B6-A0RS-01A",0.678088158601848
"TCGA-D8-A1JL-01A",0.553537690901893
"TCGA-A2-A0EU-01A",0.775050685563533
"TCGA-B6-A1KC-01B",0.845555802391781
"TCGA-GM-A3XN-01A",0.522490045622388
"TCGA-LD-A66U-01A",0.563824065993916
"TCGA-D8-A1J8-01A",0.609714171825435
"TCGA-OL-A66P-01A",0.474600433936706
"TCGA-E9-A1ND-01A",0.519834049228684
"TCGA-A7-A5ZX-01A",0.489075505674288
"TCGA-A2-A1G1-01A",0.585186921244888
"TCGA-A2-A0SU-01A",0.613704206632072
"TCGA-E2-A1LB-01A",0.650373806432684
"TCGA-E9-A1RD-01A",0.62028601098888
"TCGA-OL-A6VQ-01A",0.560037863310264
"TCGA-AQ-A1H3-01A",0.572129021851054
"TCGA-WT-AB44-01A",0.71686115958711
"TCGA-B6-A402-01A",0.696247822429591
"TCGA-BH-A1F5-01A",0.793751073584202
"TCGA-AC-A3HN-01A",0.542642358307681
"TCGA-BH-A1FG-01A",0.733810670842258
"TCGA-UL-AAZ6-01A",0.89857109630751
"TCGA-AR-A255-01A",0.590012907866938
"TCGA-LD-A7W6-01A",0.647208892893389
"TCGA-AR-A24Z-01A",0.836900266458223
"TCGA-A1-A0SO-01A",0.885668232188935
"TCGA-A2-A3XS-01A",0.662783966605756
"TCGA-D8-A1X6-01A",0.761348505648627
"TCGA-C8-A1HF-01A",0.7001377230986
"TCGA-A7-A3J0-01A",0.834063549866694
"TCGA-AC-A23C-01A",0.547693308639718
"TCGA-S3-A6ZH-01A",0.82606266797477
"TCGA-BH-A0B8-01A",0.821129194760987
"TCGA-AR-A1AX-01A",0.459194995007534
"TCGA-D8-A1XO-01A",0.641127394383603
"TCGA-E9-A1R2-01A",0.656164440613369
"TCGA-BH-A1EU-01A",0.51099408146254
"TCGA-AC-A2QH-01B",0.908851490331097
"TCGA-LL-A5YM-01A",0.688393883247845
"TCGA-EW-A1IY-01A",0.532898849204018
"TCGA-AR-A1AR-01A",0.586643105077784
"TCGA-EW-A1J5-01A",0.636219163422556
"TCGA-B6-A0WV-01A",0.754941007525726
"TCGA-BH-A1FN-01A",0.741062609929935
"TCGA-AR-A24N-01A",0.729972754903824
"TCGA-A2-A0CO-01A",0.64125078666753
"TCGA-OL-A66N-01A",0.60988999287931
"TCGA-AC-A3QP-01A",0.552017648537403
"TCGA-B6-A0RM-01A",0.777404605918609
"TCGA-D8-A1JS-01A",0.89087932255199
"TCGA-A7-A26J-01A",0.730887276622506
"TCGA-A7-A13H-01A",0.544425710855872
"TCGA-AO-A126-01A",0.725769602201183
"TCGA-BH-A6R8-01A",0.757853899441453
"TCGA-B6-A0RG-01A",0.854229991790822
"TCGA-AC-A3TM-01A",0.641264576682312
"TCGA-AR-A0TQ-01A",0.591698246518426
"TCGA-GM-A2DH-01A",0.571891500517488
"TCGA-B6-A0RI-01A",0.736784135380299
"TCGA-A2-A1G0-01A",0.616818732669174
"TCGA-AO-A124-01A",0.832425259150886
"TCGA-A2-A1FX-01A",0.708577853848969
"TCGA-A7-A26G-01A",0.498545694693048
"TCGA-E2-A1LI-01A",0.548618685966875
"TCGA-BH-A0HA-01A",0.709676246468875
"TCGA-AO-A1KR-01A",0.59696825412574
"TCGA-3C-AALK-01A",0.597683596348476
